scenario,delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,1Mbps,0,200,102400,100,8080,0.05,1,0.913923,0.155,0.851285
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,5Mbps,0,200,102400,100,8080,0.05,1,0.190744,0.605,3.40864
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,200,102400,100,8080,0.05,1,0.100416,0.965,5.45563
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,200,102400,100,8080,0.01,1,0.100413,1,7.4228
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,200,102400,100,8080,0.01,4,0.344209,1,9.05888
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,200,102400,100,8080,0.01,8,0.689794,1,9.02661
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,50,102400,100,8080,0.1,1,0.100682,1,4.12317
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,200,102400,100,8080,0.05,1,0.100416,0.965,5.45563
delay,dataRate,errorRate,nRequests,respSize,reqSize,httpPort,interval,nConnections,avgDelay,completeRate,throughput
5ms,10Mbps,0,500,102400,100,8080,0.01,1,0.100391,0.526,7.42343
